val	count
34.65	5
36.24	7
66.27	1
44.08	10
54.7	9
39.66	7
38.78	4
36.75	10
35.17	5
33.25	7
37.39	9
33.55	7
34.96	7
33.09	2
29.8	4
31.49	6
33.12	4
34.09	10
39.76	4
65.22	1
56.51	15
62.17	1
61.31	7
25.19	3
55.38	6
54.12	4
43.89	9
40.94	17
41.59	11
43.0	5
41.8	6
64.76	1
64.33	2
47.59	5
50.21	1
59.24	4
59.02	8
60.07	5
56.5	12
42.68	38
45.03	10
45.04	2
57.57	7
64.32	7
65.14	1
51.73	4
46.47	3
62.35	6
48.43	1
49.39	7
55.21	11
55.62	9
57.92	6
60.36	2
60.49	3
59.09	7
57.99	11
55.84	5
36.71	6
37.84	2
44.22	5
37.23	4
51.38	2
39.61	7
53.15	4
52.5	3
27.78	1
26.58	5
36.27	1
30.96	3
37.46	9
35.28	3
36.36	14
45.79	7
46.69	4
35.47	3
42.54	8
44.6	7
54.65	10
51.6	5
43.26	15
38.72	8
38.62	6
38.18	9
37.02	3
34.45	7
32.43	5
35.57	10
34.98	4
36.87	6
32.18	2
28.57	2
62.47	5
46.08	3
56.93	4
59.8	5
56.13	4
39.05	3
55.13	5
48.24	6
42.73	9
37.85	3
56.98	8
61.57	2
43.74	5
38.36	3
35.03	13
55.94	8
53.3	12
43.82	5
37.62	4
41.7	5
33.13	4
39.74	30
41.91	17
41.34	12
43.29	11
43.15	11
52.41	5
48.56	5
50.43	8
43.77	12
53.66	8
48.18	4
53.92	7
53.86	3
54.11	4
43.65	11
62.14	6
58.61	8
62.09	2
60.45	7
39.9	8
55.04	5
59.1	10
59.19	6
56.83	11
54.24	2
56.62	6
55.35	4
55.26	5
56.77	10
60.22	9
59.96	9
54.51	2
54.95	10
55.53	7
56.65	10
40.49	33
45.02	8
44.76	5
45.92	3
52.04	2
53.45	3
60.7	2
62.78	3
68.71	2
64.42	4
49.02	2
40.2	17
41.73	6
60.89	8
60.68	4
60.26	7
43.05	7
43.63	6
43.08	15
46.01	4
44.89	12
62.71	1
37.61	3
43.79	6
46.55	4
56.48	7
42.26	5
60.5	7
60.34	20
58.29	11
58.18	5
56.8	9
51.61	8
37.71	1
37.68	1
42.18	15
52.38	4
46.71	3
47.06	7
46.07	7
37.56	3
44.05	19
26.85	3
26.21	1
28.81	2
36.59	8
33.98	1
36.55	10
42.38	13
62.99	2
41.16	23
40.56	14
43.18	10
41.52	22
52.82	2
36.77	5
54.05	4
46.06	4
47.31	2
46.1	11
61.82	3
61.68	8
60.63	3
60.14	7
58.44	11
51.34	4
55.27	2
59.4	11
56.21	9
55.01	2
59.88	14
52.83	4
53.4	2
59.46	7
42.17	13
45.43	9
44.49	14
45.38	13
44.81	5
55.19	4
40.22	6
47.1	1
55.71	5
57.84	7
57.91	16
53.54	5
62.22	1
61.25	12
64.37	2
57.87	9
63.36	4
60.08	2
58.63	12
56.31	10
58.31	7
57.14	13
59.92	5
42.79	14
51.7	8
49.81	3
54.76	1
57.02	6
