geneGC	obsGC
48.31130690161527	45.30111111111111
48.31130690161527	44.72
48.31130690161527	46.54333333333334
48.31130690161527	48.231428571428566
48.31130690161527	44.16909090909091
48.31130690161527	49.44571428571429
48.31130690161527	43.127647058823534
48.31130690161527	70.34
48.31130690161527	41.41
48.31130690161527	45.11
48.31130690161527	46.1647619047619
48.31130690161527	44.01333333333333
48.31130690161527	45.71314285714286
48.31130690161527	46.855
48.31130690161527	43.699999999999996
48.31130690161527	44.659487179487186
48.31130690161527	34.57
48.31130690161527	48.83166666666668
48.31130690161527	41.53
48.31130690161527	48.89142857142857
48.31130690161527	41.48
48.31130690161527	42.873999999999995
48.31130690161527	44.36333333333334
48.31130690161527	44.146666666666675
48.31130690161527	43.866
48.31130690161527	45.25
48.31130690161527	44.88428571428572
48.31130690161527	43.76
48.31130690161527	53.095
48.31130690161527	44.66307692307692
48.31130690161527	46.57391304347825
48.31130690161527	44.02
48.31130690161527	40.88
48.31130690161527	42.16
48.31130690161527	43.94
48.31130690161527	42.626999999999995
48.31130690161527	44.685
48.31130690161527	44.461333333333336
48.31130690161527	48.665
48.31130690161527	51.16375000000001
48.31130690161527	51.67
48.31130690161527	43.67
48.31130690161527	46.040000000000006
48.31130690161527	44.5025
48.31130690161527	47.337857142857146
48.31130690161527	43.03
48.31130690161527	44.17666666666667
48.31130690161527	44.3
48.31130690161527	43.81818181818182
48.31130690161527	51.998333333333335
48.31130690161527	58.50666666666666
48.31130690161527	48.11538461538463
48.31130690161527	51.03142857142858
48.31130690161527	44.344117647058816
48.31130690161527	40.57
48.31130690161527	50.217058823529406
48.31130690161527	50.14
48.31130690161527	45.38333333333333
48.31130690161527	44.805
48.31130690161527	48.6125
48.31130690161527	44.536
48.31130690161527	43.27307692307692
48.31130690161527	54.1
48.31130690161527	44.78
48.31130690161527	45.92052631578946
48.31130690161527	44.735
48.31130690161527	45.45
48.31130690161527	46.65714285714285
48.31130690161527	60.7675
48.31130690161527	54.80333333333334
48.31130690161527	43.32
48.31130690161527	46.297142857142866
48.31130690161527	48.723333333333336
48.31130690161527	44.56846153846155
48.31130690161527	55.56
48.31130690161527	47.33714285714285
48.31130690161527	42.141818181818174
48.31130690161527	42.55
48.31130690161527	48.7925
48.31130690161527	40.96
48.31130690161527	50.37285714285714
48.31130690161527	45.324999999999996
48.31130690161527	44.056666666666665
48.31130690161527	44.38
48.31130690161527	44.56999999999999
48.31130690161527	43.43
48.31130690161527	44.406666666666666
48.31130690161527	43.16833333333333
48.31130690161527	43.14
48.31130690161527	40.72
48.31130690161527	43.963750000000005
48.31130690161527	53.69
48.31130690161527	49.52
48.263254113345525	51.565
48.263254113345525	45.61
48.263254113345525	51.13
48.263254113345525	45.45
48.263254113345525	43.125
48.263254113345525	48.39
48.263254113345525	39.69
48.263254113345525	38.14
48.263254113345525	46.46
48.263254113345525	54.21
48.263254113345525	47.51
48.263254113345525	38.52
48.263254113345525	48.75
48.263254113345525	48.21
48.263254113345525	50.445
48.263254113345525	46.69
48.263254113345525	44.96
48.263254113345525	56.25
48.263254113345525	49.28
48.263254113345525	51.05
48.263254113345525	38.53
48.263254113345525	51.7
48.263254113345525	56.25
48.263254113345525	37.37
48.263254113345525	52.52
48.263254113345525	51.94
48.263254113345525	39.5
48.263254113345525	45.64
48.263254113345525	51.71
53.22283609576427	52.74
53.22283609576427	50.28
53.22283609576427	53.38
53.22283609576427	53.01
53.22283609576427	51.76
53.22283609576427	50.56
55.529411764705884	41.67
55.529411764705884	25.93
55.529411764705884	25.93
37.42487286176607	40.7175
37.42487286176607	38.955
37.42487286176607	36.07928571428572
37.42487286176607	33.832
37.42487286176607	38.63999999999999
37.42487286176607	43.092
37.42487286176607	34.21
37.42487286176607	38.58500000000001
37.42487286176607	35.083
37.42487286176607	40.623076923076916
37.42487286176607	39.58258064516129
37.42487286176607	35.877142857142864
37.42487286176607	40.17266666666667
37.42487286176607	39.08333333333333
37.42487286176607	39.26500000000001
37.42487286176607	39.7423076923077
37.42487286176607	45.53
37.42487286176607	40.33
37.42487286176607	39.5775
37.42487286176607	33.92
37.42487286176607	43.96125
37.42487286176607	44.2775
37.42487286176607	38.09428571428572
37.42487286176607	35.2075
37.42487286176607	41.599999999999994
37.42487286176607	41.55
37.42487286176607	37.9025
37.42487286176607	44.12
37.42487286176607	37.529374999999995
37.42487286176607	31.02
37.42487286176607	37.506
37.42487286176607	32.81
37.42487286176607	39.37923076923077
37.42487286176607	32.16
37.42487286176607	34.71
37.42487286176607	46.41
